Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2020,HUN,0.1313827893005614
2010,IDN,0.0930235643839628
2011,IDN,0.0911867278613513
2012,IDN,0.093555223192665
2013,IDN,0.0925785035075925
2014,IDN,0.0889658788934647
2015,IDN,0.082599432451519
2016,IDN,0.0812618959115243
2017,IDN,0.0820062249154885
2018,IDN,0.0851461953806385
2019,IDN,0.0817733884276395
2020,IDN,0.0786576071175488
2010,IMN,0.0
2011,IMN,0.0
2012,IMN,0.0
2013,IMN,0.0
2014,IMN,0.0
2015,IMN,0.0
2016,IMN,0.0
2017,IMN,0.0
2018,IMN,0.0
2019,IMN,0.0
2020,IMN,0.0
2010,IND,0.0
2011,IND,0.0
2012,IND,0.0
2013,IND,0.0
2014,IND,0.0
2015,IND,0.0
2016,IND,0.0
2017,IND,0.0
2018,IND,0.0
2019,IND,0.0
2020,IND,0.0
2010,IRL,0.0
2011,IRL,0.0
2012,IRL,0.0
2013,IRL,0.0
2014,IRL,0.0
2015,IRL,0.0
2016,IRL,0.0
2017,IRL,0.0
2018,IRL,0.0
2019,IRL,0.0
2020,IRL,0.0
2010,IRN,0.1115387747091724
2011,IRN,0.1139066501638578
2012,IRN,0.1213021004443475
2013,IRN,0.1241962484768734
2014,IRN,0.1231439536350273
2015,IRN,0.1176790032321918
2016,IRN,0.1218579433136033
2017,IRN,0.1291790415118761
2018,IRN,0.1406359555811563
2019,IRN,0.1413844721730316
2020,IRN,0.14214099916373
2010,IRQ,0.2137579325514946
